Gene,CellType,Source
GCG,Alpha,"Chiou J., bioRxiv, 2019; Bonnycastle L., Biology Methods & Protocols, 2019"
ARX,Alpha,"Segerstolpe, Ã…., Cell metabolism, 2016"
IRX1,Alpha,panglaodb
IRX2,Alpha,"Muraro et al., 2016, Cell Systems, 2016"
FEV,Alpha,"Muraro et al., 2016, Cell Systems, 2016"
INS,Beta,"Chiou J., bioRxiv, 2019; Bonnycastle L., Biology Methods & Protocols, 2019"
MAFA,Beta,"Muraro et al., 2016, Cell Systems, 2016"
ADCYAP1,Beta,"Muraro et al., 2016, Cell Systems, 2016"
SIX3,Beta,"Muraro et al., 2016, Cell Systems, 2016"
IAPP,Beta,"Muraro et al., 2016, Cell Systems, 2016"
SYT13,Beta,"Muraro et al., 2016, Cell Systems, 2016"
SST,Delta,"Chiou J., bioRxiv, 2019; Bonnycastle L., Biology Methods & Protocols, 2019"
GHRL,Epsilon,"Bonnycastle L., Biology Methods & Protocols, 2019"
PPY,Gamma,"Chiou J., bioRxiv, 2019; Bonnycastle L., Biology Methods & Protocols, 2019"
CTRB2,Acinar,"Chiou J., bioRxiv, 2019"
PRSS1,Acinar,"Bonnycastle L., Biology Methods & Protocols, 2019"
PRSS2,Acinar,panglaodb
PNLIP,Acinar,panglaodb
REG1A,Acinar,"Chiou J., bioRxiv, 2021"
PI3,Ductal,panglaodb
MMP7,Ductal,panglaodb
CFTR,Ductal,"Chiou J., bioRxiv, 2019"
KRT19,Ductal,"Bonnycastle L., Biology Methods & Protocols, 2019"
PLVAP,Endothelial,"Chiou J., bioRxiv, 2019"
CDH5,Endothelial,"Stankovic, I. et al, 2024, Nature"
CLDN5,Endothelial,"Hashimoto, Y. et al, 2023, Fluids Barriers "
VWF,Endothelial,"Bonnycastle L., Biology Methods & Protocols, 2019"
CD93,Endothelial,"Chiou J., bioRxiv, 2021"
SPARC,Mesenchymal,"Muraro et al., 2016, Cell Systems, 2016 (supplementary)"
TBX3,Mesenchymal,"Muraro et al., 2016, Cell Systems, 2016 (supplementary)"
CDH19,Glial,LP
COL3A1,Stellate,panglaodb
COL1A1,Stellate,"Bonnycastle L., Biology Methods & Protocols, 2019"
PDGFRB,Stellate,"Chiou J., bioRxiv, 2019"
RGS5,Stellate,"Chiou J. et al., Nature, 2021"
COL6A3,Stellate,"Chiou J. et al., Nature, 2021"
PTPN22,Immune,LP
NCF2,Immune,"Chiou J., bioRxiv, 2021"
CD3D,Immune,"Chiou J., bioRxiv, 2021"
SDS,Immune,"Bonnycastle L., Biology Methods & Protocols, 2019"
C1QB,Immune,"Chiou J. et al., Nature, 2021"
GATA1,Immune,"Chiou J. et al., Nature, 2021"
PTCRA,Immune,"Chiou J. et al., Nature, 2021"
FCAR,Immune,"Chiou J. et al., Nature, 2021"
CD4,Immune,"Chiou J. et al., Nature, 2021"
FOXP3,Immune,"Chiou J. et al., Nature, 2021"
CD8B,Immune,"Chiou J. et al., Nature, 2021"
KLRB1,Immune,"Chiou J. et al., Nature, 2021"
IFNG,Immune,"Chiou J. et al., Nature, 2021"
TCL1A,Immune,"Chiou J. et al., Nature, 2021"
CHGA,Endocrine,"Yu Wang, Yiyi Liang. et al., Cell Discovery, 2021"
CHGB,Endocrine,"Yu Wang, Yiyi Liang. et al., Cell Discovery, 2021"
CD14,Immune,"Yu Wang, Yiyi Liang. et al., Cell Discovery, 2021"
MS4A7,Immune,"Yu Wang, Yiyi Liang. et al., Cell Discovery, 2021"
CD163,Immune,"Yu Wang, Yiyi Liang. et al., Cell Discovery, 2021"
CD79A,Immune,"Yu Wang, Yiyi Liang. et al., Cell Discovery, 2021"
CD79B,Immune,"Yu Wang, Yiyi Liang. et al., Cell Discovery, 2021"
CD3E,Immune,"Yu Wang, Yiyi Liang. et al., Cell Discovery, 2021"
CD3G,Immune,"Yu Wang, Yiyi Liang. et al., Cell Discovery, 2021"
CD8A,Immune,"Yu Wang, Yiyi Liang. et al., Cell Discovery, 2021"